Name: sam               
Date: 2022-04-18

Original Request
Hamper 1: 1 Adult Male, 2 Adult Female, 1 Child under 8, 1 Child over 8


Hamper 1 Items
4 Apple, dozen
5 Apple, dozen
7 Chicken broth, can
8 Baby carrots, pound
11 Wheat bread, loaf
12 Wheat bread, loaf
13 Wheat bread, loaf
14 Orange, dozen
15 Orange, dozen
27 Lettuce, 3 heads
28 Bananas, bunch
34 Avocado, dozen
35 Avocado, dozen
36 Corn tortillas, pound
45 Tomatoes, 1 kg
48 Maple syrup, 1 L
53 Trail mix, 1 kg
54 Soy protein, 1 kg
56 Mixed nuts, 1 kg
68 Frozen pizza, pepperoni
73 Manioc, 1 pound
84 Wheaties, family size
93 Mushrooms, 800g
95 Lentils, 1 kg
96 Almonds, large bag
97 Protein shake, 10 cans
98 Soy burger, 20
104 Green peas, 1 pound
106 Creamed spinach
115 Raisin bran, 1 box
124 Tinned sardines, pack of 5
125 Tinned sardines, pack of 5
127 Grape jelly
134 Salmon, 5 filets
135 Frozen squid, 1 pound
139 Pearl barley, 1 pound
142 Whey powder, large jar
150 Bean sprouts, 1 kg
160 Strawberry Skyr
162 Cottage cheese
163 Bluegreen algae powder, 100 g

